"SNP" "Gene"
"SNP419" "Gene4198"
"SNP421" "Gene799"
"SNP421" "Gene1219"
"SNP421" "Gene1500"
"SNP421" "Gene2198"
"SNP421" "Gene4119"
"SNP426" "Gene871"
"SNP430" "Gene3961"
"SNP431" "Gene3961"
"SNP432" "Gene3961"
"SNP434" "Gene2067"
"SNP435" "Gene404"
"SNP435" "Gene1789"
"SNP435" "Gene1824"
"SNP435" "Gene2263"
"SNP435" "Gene2391"
"SNP435" "Gene3587"
"SNP435" "Gene3806"
"SNP439" "Gene4467"
"SNP441" "Gene1498"
"SNP441" "Gene1648"
"SNP441" "Gene1649"
"SNP441" "Gene2294"
"SNP441" "Gene2295"
"SNP441" "Gene3367"
"SNP441" "Gene3416"
"SNP441" "Gene4221"
"SNP444" "Gene34"
"SNP444" "Gene257"
"SNP444" "Gene1980"
"SNP444" "Gene2594"
"SNP444" "Gene3475"
"SNP447" "Gene308"
"SNP447" "Gene557"
"SNP447" "Gene567"
"SNP447" "Gene1406"
"SNP447" "Gene1408"
"SNP447" "Gene1484"
"SNP447" "Gene1490"
"SNP447" "Gene1588"
"SNP447" "Gene1589"
"SNP447" "Gene1590"
"SNP447" "Gene2160"
"SNP449" "Gene4027"
"SNP454" "Gene30"
"SNP454" "Gene2640"
"SNP454" "Gene3964"
"SNP454" "Gene4428"
"SNP455" "Gene30"
"SNP455" "Gene2640"
"SNP455" "Gene3964"
"SNP455" "Gene4428"
"SNP456" "Gene224"
"SNP456" "Gene715"
"SNP456" "Gene1569"
"SNP456" "Gene1570"
"SNP456" "Gene1573"
"SNP456" "Gene1656"
"SNP456" "Gene2499"
"SNP456" "Gene2500"
"SNP456" "Gene2527"
"SNP456" "Gene3292"
"SNP456" "Gene3833"
"SNP456" "Gene3920"
"SNP456" "Gene3921"
"SNP459" "Gene1137"
"SNP459" "Gene1654"
"SNP459" "Gene2142"
"SNP459" "Gene2293"
"SNP459" "Gene3020"
"SNP459" "Gene3029"
"SNP459" "Gene4413"
"SNP460" "Gene967"
"SNP460" "Gene2486"
"SNP460" "Gene4125"
"SNP460" "Gene4250"
"SNP460" "Gene4399"
"SNP461" "Gene967"
"SNP461" "Gene2486"
"SNP461" "Gene4125"
"SNP461" "Gene4250"
"SNP461" "Gene4399"
"SNP462" "Gene967"
"SNP462" "Gene2486"
"SNP462" "Gene4250"
"SNP462" "Gene4399"
"SNP463" "Gene967"
"SNP463" "Gene2486"
"SNP463" "Gene4250"
"SNP463" "Gene4399"
"SNP465" "Gene1543"
"SNP465" "Gene2907"
"SNP468" "Gene19"
"SNP468" "Gene1156"
"SNP468" "Gene2101"
"SNP468" "Gene2182"
"SNP468" "Gene2343"
"SNP468" "Gene2516"
"SNP468" "Gene2589"
"SNP468" "Gene2848"
"SNP468" "Gene3683"
"SNP473" "Gene80"
"SNP473" "Gene83"
"SNP473" "Gene4395"
"SNP474" "Gene80"
"SNP474" "Gene83"
"SNP474" "Gene4395"
"SNP479" "Gene4467"
"SNP482" "Gene2808"
"SNP482" "Gene3377"
"SNP483" "Gene2808"
"SNP483" "Gene3377"
"SNP488" "Gene2191"
"SNP488" "Gene3575"
"SNP488" "Gene4183"
"SNP488" "Gene4345"
"SNP489" "Gene1557"
"SNP489" "Gene1893"
"SNP489" "Gene2004"
"SNP489" "Gene2656"
"SNP489" "Gene3075"
"SNP489" "Gene3641"
"SNP489" "Gene3866"
"SNP491" "Gene152"
"SNP491" "Gene3759"
"SNP492" "Gene152"
"SNP492" "Gene3759"
"SNP493" "Gene152"
"SNP493" "Gene3759"
"SNP495" "Gene299"
"SNP495" "Gene670"
"SNP495" "Gene1231"
"SNP495" "Gene2091"
"SNP495" "Gene2268"
"SNP495" "Gene2575"
"SNP495" "Gene2879"
"SNP495" "Gene4236"
"SNP496" "Gene762"
"SNP496" "Gene968"
"SNP496" "Gene2811"
"SNP496" "Gene2855"
"SNP497" "Gene541"
"SNP497" "Gene904"
"SNP497" "Gene1587"
"SNP497" "Gene2259"
"SNP497" "Gene2426"
"SNP497" "Gene3429"
"SNP497" "Gene4033"
"SNP497" "Gene4047"
"SNP498" "Gene1171"
"SNP498" "Gene1522"
"SNP498" "Gene2525"
"SNP498" "Gene3400"
"SNP498" "Gene3652"
"SNP498" "Gene4455"
"SNP500" "Gene1501"
"SNP500" "Gene2503"
"SNP516" "Gene1352"
"SNP516" "Gene2852"
"SNP522" "Gene46"
"SNP522" "Gene522"
"SNP522" "Gene1982"
"SNP522" "Gene2509"
"SNP522" "Gene3734"
"SNP523" "Gene46"
"SNP523" "Gene522"
"SNP523" "Gene2509"
"SNP523" "Gene3734"
"SNP523" "Gene3979"
"SNP523" "Gene4251"
"SNP524" "Gene1553"
"SNP524" "Gene3132"
"SNP525" "Gene799"
"SNP525" "Gene2198"
"SNP525" "Gene4119"
"SNP527" "Gene998"
"SNP527" "Gene1405"
"SNP528" "Gene588"
"SNP528" "Gene2734"
"SNP528" "Gene2788"
"SNP528" "Gene2912"
"SNP528" "Gene3060"
"SNP528" "Gene4271"
"SNP529" "Gene501"
"SNP529" "Gene1225"
"SNP529" "Gene1335"
"SNP529" "Gene1873"
"SNP529" "Gene2923"
"SNP530" "Gene501"
"SNP530" "Gene1225"
"SNP530" "Gene1335"
"SNP530" "Gene1873"
"SNP530" "Gene2923"
"SNP530" "Gene3453"
"SNP531" "Gene1454"
"SNP531" "Gene2056"
"SNP531" "Gene4243"
"SNP532" "Gene1454"
"SNP532" "Gene2056"
"SNP532" "Gene4243"
"SNP536" "Gene4467"
"SNP538" "Gene703"
"SNP538" "Gene1998"
"SNP538" "Gene2188"
"SNP538" "Gene3854"
"SNP538" "Gene4408"
"SNP540" "Gene161"
"SNP540" "Gene612"
"SNP540" "Gene1104"
"SNP540" "Gene1752"
"SNP540" "Gene1801"
"SNP540" "Gene4300"
"SNP550" "Gene4467"
"SNP551" "Gene1212"
"SNP551" "Gene1903"
"SNP551" "Gene2161"
"SNP551" "Gene2373"
"SNP551" "Gene2905"
"SNP551" "Gene4004"
"SNP551" "Gene4005"
"SNP552" "Gene1174"
"SNP552" "Gene1725"
"SNP552" "Gene3082"
"SNP552" "Gene3458"
"SNP552" "Gene3512"
"SNP554" "Gene666"
"SNP554" "Gene1309"
"SNP554" "Gene1743"
"SNP554" "Gene1761"
"SNP554" "Gene1875"
"SNP554" "Gene1987"
"SNP554" "Gene2785"
"SNP554" "Gene3384"
"SNP554" "Gene3893"
"SNP554" "Gene3946"
"SNP555" "Gene228"
"SNP555" "Gene242"
"SNP555" "Gene983"
"SNP555" "Gene1285"
"SNP555" "Gene3261"
"SNP555" "Gene3614"
"SNP555" "Gene3907"
"SNP556" "Gene41"
"SNP556" "Gene81"
"SNP556" "Gene736"
"SNP556" "Gene995"
"SNP556" "Gene1108"
"SNP556" "Gene1158"
"SNP556" "Gene2000"
"SNP556" "Gene2651"
"SNP556" "Gene3042"
"SNP556" "Gene3214"
"SNP556" "Gene3595"
"SNP556" "Gene4096"
"SNP556" "Gene4278"
"SNP556" "Gene4322"
"SNP556" "Gene4323"
"SNP556" "Gene4429"
"SNP560" "Gene583"
"SNP560" "Gene1021"
"SNP560" "Gene2169"
"SNP561" "Gene1341"
"SNP561" "Gene1431"
"SNP561" "Gene1592"
"SNP561" "Gene1735"
"SNP561" "Gene1736"
"SNP561" "Gene1810"
"SNP561" "Gene2369"
"SNP561" "Gene2554"
"SNP561" "Gene2767"
"SNP561" "Gene2843"
"SNP561" "Gene3085"
"SNP561" "Gene3389"
"SNP561" "Gene3991"
"SNP563" "Gene151"
"SNP563" "Gene286"
"SNP563" "Gene953"
"SNP563" "Gene961"
"SNP563" "Gene962"
"SNP563" "Gene1293"
"SNP563" "Gene1858"
"SNP563" "Gene2010"
"SNP563" "Gene2590"
"SNP563" "Gene2591"
"SNP563" "Gene2592"
"SNP563" "Gene2598"
"SNP563" "Gene2757"
"SNP563" "Gene2761"
"SNP563" "Gene2973"
"SNP563" "Gene4159"
"SNP572" "Gene982"
"SNP572" "Gene1055"
"SNP572" "Gene1333"
"SNP572" "Gene1605"
"SNP572" "Gene2597"
"SNP572" "Gene2606"
"SNP572" "Gene3065"
"SNP572" "Gene3104"
"SNP572" "Gene4142"
"SNP572" "Gene4145"
"SNP572" "Gene4232"
"SNP573" "Gene982"
"SNP573" "Gene1055"
"SNP573" "Gene1333"
"SNP573" "Gene1605"
"SNP573" "Gene2597"
"SNP573" "Gene2606"
"SNP573" "Gene3065"
"SNP573" "Gene3104"
"SNP573" "Gene4142"
"SNP573" "Gene4145"
"SNP573" "Gene4232"
"SNP578" "Gene1236"
"SNP578" "Gene1705"
"SNP578" "Gene1781"
"SNP578" "Gene1800"
"SNP578" "Gene3924"
"SNP578" "Gene4108"
"SNP580" "Gene378"
"SNP580" "Gene582"
"SNP580" "Gene615"
"SNP580" "Gene634"
"SNP580" "Gene1812"
"SNP580" "Gene3092"
"SNP580" "Gene3182"
"SNP580" "Gene3467"
"SNP580" "Gene3687"
"SNP582" "Gene70"
"SNP582" "Gene71"
"SNP582" "Gene431"
"SNP582" "Gene526"
"SNP582" "Gene2402"
"SNP582" "Gene3659"
"SNP589" "Gene288"
"SNP589" "Gene997"
"SNP589" "Gene1297"
"SNP589" "Gene2243"
"SNP589" "Gene2275"
"SNP589" "Gene3414"
"SNP589" "Gene3672"
"SNP589" "Gene4324"
"SNP590" "Gene2496"
"SNP595" "Gene421"
"SNP595" "Gene733"
"SNP595" "Gene737"
"SNP595" "Gene1020"
"SNP595" "Gene1042"
"SNP595" "Gene1056"
"SNP595" "Gene1209"
"SNP595" "Gene1409"
"SNP595" "Gene1582"
"SNP595" "Gene1600"
"SNP595" "Gene1602"
"SNP595" "Gene1686"
"SNP595" "Gene2252"
"SNP595" "Gene2340"
"SNP595" "Gene3632"
"SNP595" "Gene3981"
"SNP595" "Gene4252"
"SNP596" "Gene2582"
"SNP597" "Gene411"
"SNP597" "Gene1029"
"SNP597" "Gene1242"
"SNP597" "Gene3385"
"SNP602" "Gene61"
"SNP602" "Gene442"
"SNP602" "Gene971"
"SNP602" "Gene973"
"SNP602" "Gene1544"
"SNP602" "Gene2970"
"SNP603" "Gene1243"
"SNP603" "Gene1322"
"SNP603" "Gene2186"
"SNP603" "Gene2919"
"SNP603" "Gene3828"
"SNP604" "Gene387"
"SNP604" "Gene706"
"SNP604" "Gene1386"
"SNP604" "Gene2141"
"SNP604" "Gene2775"
"SNP604" "Gene2920"
"SNP604" "Gene3599"
"SNP605" "Gene387"
"SNP605" "Gene706"
"SNP605" "Gene1386"
"SNP605" "Gene2141"
"SNP605" "Gene2775"
"SNP605" "Gene2920"
"SNP605" "Gene3599"
"SNP607" "Gene661"
"SNP607" "Gene2250"
"SNP608" "Gene661"
"SNP608" "Gene2250"
"SNP611" "Gene293"
"SNP611" "Gene840"
"SNP611" "Gene1197"
"SNP611" "Gene1664"
"SNP611" "Gene2127"
"SNP611" "Gene2471"
"SNP611" "Gene2538"
"SNP611" "Gene2795"
"SNP611" "Gene2915"
"SNP611" "Gene3801"
"SNP611" "Gene3804"
"SNP615" "Gene326"
"SNP615" "Gene328"
"SNP615" "Gene1856"
"SNP615" "Gene2359"
"SNP615" "Gene2840"
"SNP615" "Gene3277"
"SNP615" "Gene3972"
"SNP616" "Gene619"
"SNP617" "Gene326"
"SNP617" "Gene328"
"SNP617" "Gene2359"
"SNP617" "Gene2840"
"SNP617" "Gene3972"
"SNP618" "Gene326"
"SNP618" "Gene328"
"SNP618" "Gene2359"
"SNP618" "Gene2840"
"SNP618" "Gene3972"
"SNP619" "Gene326"
"SNP619" "Gene328"
"SNP619" "Gene1856"
"SNP619" "Gene2359"
"SNP619" "Gene2840"
"SNP619" "Gene3277"
"SNP619" "Gene3972"
"SNP620" "Gene326"
"SNP620" "Gene328"
"SNP620" "Gene2359"
"SNP620" "Gene2840"
"SNP620" "Gene3972"
"SNP621" "Gene326"
"SNP621" "Gene328"
"SNP621" "Gene2359"
"SNP621" "Gene2840"
"SNP621" "Gene3972"
"SNP623" "Gene2465"
"SNP623" "Gene2466"
"SNP623" "Gene3133"
"SNP624" "Gene1167"
"SNP624" "Gene1253"
"SNP624" "Gene2465"
"SNP625" "Gene2808"
"SNP625" "Gene3377"
"SNP630" "Gene1711"
"SNP630" "Gene1894"
"SNP630" "Gene2954"
"SNP630" "Gene3186"
"SNP631" "Gene2191"
"SNP631" "Gene3575"
"SNP631" "Gene4183"
"SNP631" "Gene4345"
"SNP632" "Gene152"
"SNP632" "Gene3759"
"SNP633" "Gene2030"
"SNP635" "Gene178"
"SNP635" "Gene843"
"SNP635" "Gene845"
"SNP635" "Gene1494"
"SNP635" "Gene2653"
"SNP635" "Gene3180"
"SNP636" "Gene4298"
"SNP644" "Gene4467"
"SNP646" "Gene1132"
"SNP646" "Gene1181"
"SNP646" "Gene1265"
"SNP646" "Gene1517"
"SNP646" "Gene2238"
"SNP649" "Gene353"
"SNP649" "Gene357"
"SNP649" "Gene813"
"SNP649" "Gene909"
"SNP649" "Gene1586"
"SNP649" "Gene2807"
"SNP649" "Gene2834"
"SNP649" "Gene3443"
"SNP649" "Gene3653"
"SNP649" "Gene4257"
"SNP655" "Gene618"
"SNP655" "Gene832"
"SNP655" "Gene900"
"SNP655" "Gene3380"
"SNP658" "Gene618"
"SNP658" "Gene832"
"SNP658" "Gene900"
"SNP658" "Gene3380"
"SNP661" "Gene1561"
"SNP661" "Gene2584"
"SNP661" "Gene3120"
"SNP661" "Gene3126"
"SNP661" "Gene4023"
"SNP663" "Gene12"
"SNP663" "Gene87"
"SNP663" "Gene116"
"SNP663" "Gene138"
"SNP663" "Gene348"
"SNP663" "Gene358"
"SNP663" "Gene525"
"SNP663" "Gene714"
"SNP663" "Gene1798"
"SNP663" "Gene1840"
"SNP663" "Gene2165"
"SNP663" "Gene3114"
"SNP663" "Gene3121"
"SNP663" "Gene3716"
"SNP668" "Gene460"
"SNP668" "Gene534"
"SNP668" "Gene1529"
"SNP668" "Gene1834"
"SNP668" "Gene2187"
"SNP668" "Gene3624"
"SNP668" "Gene3945"
"SNP670" "Gene4467"
"SNP674" "Gene1218"
"SNP674" "Gene2166"
"SNP674" "Gene2517"
"SNP674" "Gene2540"
"SNP674" "Gene2729"
"SNP674" "Gene2922"
"SNP674" "Gene3028"
"SNP674" "Gene3605"
"SNP674" "Gene3922"
"SNP675" "Gene1698"
"SNP675" "Gene3080"
"SNP675" "Gene3270"
"SNP676" "Gene1501"
"SNP676" "Gene2503"
"SNP680" "Gene432"
"SNP680" "Gene2680"
"SNP680" "Gene2711"
"SNP681" "Gene432"
"SNP681" "Gene2680"
"SNP681" "Gene2711"
"SNP683" "Gene1122"
"SNP683" "Gene1777"
"SNP683" "Gene3524"
"SNP683" "Gene4057"
"SNP687" "Gene588"
"SNP687" "Gene2734"
"SNP687" "Gene2788"
"SNP687" "Gene2912"
"SNP687" "Gene3060"
"SNP687" "Gene3626"
"SNP687" "Gene4271"
"SNP689" "Gene25"
"SNP689" "Gene690"
"SNP689" "Gene698"
"SNP689" "Gene1000"
"SNP689" "Gene1234"
"SNP689" "Gene1429"
"SNP689" "Gene2206"
"SNP689" "Gene3297"
"SNP689" "Gene3428"
"SNP691" "Gene1112"
"SNP691" "Gene1162"
"SNP691" "Gene1495"
"SNP691" "Gene2210"
"SNP691" "Gene2836"
"SNP691" "Gene3021"
"SNP691" "Gene3808"
"SNP695" "Gene374"
"SNP695" "Gene974"
"SNP695" "Gene2977"
"SNP695" "Gene3465"
"SNP695" "Gene3525"
"SNP695" "Gene4216"
"SNP699" "Gene193"
"SNP699" "Gene437"
"SNP699" "Gene1296"
"SNP699" "Gene1817"
"SNP699" "Gene3735"
"SNP700" "Gene193"
"SNP700" "Gene437"
"SNP700" "Gene1296"
"SNP700" "Gene1817"
"SNP700" "Gene3735"
"SNP702" "Gene895"
"SNP702" "Gene2479"
"SNP703" "Gene519"
"SNP703" "Gene549"
"SNP703" "Gene2392"
"SNP705" "Gene35"
"SNP705" "Gene1480"
"SNP705" "Gene1673"
"SNP705" "Gene1718"
"SNP705" "Gene1825"
"SNP707" "Gene1036"
"SNP707" "Gene2393"
"SNP707" "Gene2769"
"SNP709" "Gene1"
"SNP709" "Gene199"
"SNP709" "Gene648"
"SNP709" "Gene649"
"SNP709" "Gene744"
"SNP709" "Gene884"
"SNP709" "Gene1541"
"SNP709" "Gene1700"
"SNP709" "Gene2090"
"SNP709" "Gene2576"
"SNP709" "Gene2648"
"SNP709" "Gene2777"
"SNP709" "Gene2832"
"SNP709" "Gene3152"
"SNP709" "Gene3154"
"SNP709" "Gene3169"
"SNP709" "Gene3438"
"SNP709" "Gene3551"
"SNP709" "Gene3812"
"SNP709" "Gene4008"
"SNP709" "Gene4020"
"SNP709" "Gene4289"
"SNP709" "Gene4350"
"SNP713" "Gene1188"
"SNP713" "Gene1596"
"SNP713" "Gene1597"
"SNP713" "Gene1598"
"SNP713" "Gene1687"
"SNP713" "Gene1707"
"SNP713" "Gene1782"
"SNP713" "Gene1845"
"SNP713" "Gene1846"
"SNP713" "Gene1847"
"SNP713" "Gene1848"
"SNP713" "Gene1849"
"SNP713" "Gene2436"
"SNP713" "Gene2566"
"SNP713" "Gene3175"
"SNP713" "Gene4163"
"SNP713" "Gene4164"
"SNP714" "Gene3508"
"SNP714" "Gene3780"
"SNP720" "Gene1259"
"SNP720" "Gene1579"
"SNP720" "Gene2482"
"SNP721" "Gene62"
"SNP721" "Gene67"
"SNP721" "Gene465"
"SNP721" "Gene502"
"SNP721" "Gene797"
"SNP721" "Gene802"
"SNP721" "Gene938"
"SNP721" "Gene943"
"SNP721" "Gene1039"
"SNP721" "Gene1152"
"SNP721" "Gene2135"
"SNP721" "Gene2365"
"SNP721" "Gene2564"
"SNP721" "Gene2652"
"SNP721" "Gene2904"
"SNP721" "Gene3336"
"SNP721" "Gene3409"
"SNP721" "Gene3859"
"SNP721" "Gene4435"
"SNP721" "Gene4436"
"SNP721" "Gene4437"
"SNP726" "Gene293"
"SNP726" "Gene829"
"SNP726" "Gene840"
"SNP726" "Gene1197"
"SNP726" "Gene2126"
"SNP726" "Gene2795"
"SNP726" "Gene2915"
"SNP726" "Gene3695"
"SNP726" "Gene3804"
"SNP727" "Gene293"
"SNP727" "Gene829"
"SNP727" "Gene840"
"SNP727" "Gene1197"
"SNP727" "Gene2126"
"SNP727" "Gene2795"
"SNP727" "Gene2915"
"SNP727" "Gene3695"
"SNP734" "Gene1711"
"SNP734" "Gene1894"
"SNP734" "Gene2954"
"SNP735" "Gene882"
"SNP735" "Gene1426"
"SNP735" "Gene2643"
"SNP735" "Gene2818"
"SNP735" "Gene2956"
"SNP735" "Gene3191"
"SNP735" "Gene3420"
"SNP735" "Gene3671"
"SNP735" "Gene4041"
"SNP735" "Gene4406"
"SNP739" "Gene84"
"SNP739" "Gene1060"
"SNP739" "Gene1310"
"SNP739" "Gene2270"
"SNP739" "Gene2926"
"SNP739" "Gene3357"
"SNP742" "Gene203"
"SNP742" "Gene939"
"SNP742" "Gene2096"
"SNP742" "Gene4104"
"SNP745" "Gene157"
"SNP745" "Gene277"
"SNP745" "Gene279"
"SNP745" "Gene282"
"SNP745" "Gene287"
"SNP745" "Gene289"
"SNP745" "Gene824"
"SNP745" "Gene829"
"SNP745" "Gene1330"
"SNP745" "Gene1357"
"SNP745" "Gene1359"
"SNP745" "Gene1360"
"SNP745" "Gene1361"
"SNP745" "Gene1362"
"SNP745" "Gene1363"
"SNP745" "Gene1364"
"SNP745" "Gene1365"
"SNP745" "Gene1366"
"SNP745" "Gene1367"
"SNP745" "Gene1368"
"SNP745" "Gene1369"
"SNP745" "Gene1370"
"SNP745" "Gene1371"
"SNP745" "Gene1372"
"SNP745" "Gene1373"
"SNP745" "Gene1468"
"SNP745" "Gene1639"
"SNP745" "Gene1640"
"SNP745" "Gene1642"
"SNP745" "Gene1643"
"SNP745" "Gene1662"
"SNP745" "Gene1666"
"SNP745" "Gene1753"
"SNP745" "Gene1758"
"SNP745" "Gene1899"
"SNP745" "Gene2126"
"SNP745" "Gene2805"
"SNP745" "Gene2915"
"SNP745" "Gene3017"
"SNP745" "Gene3695"
"SNP746" "Gene293"
"SNP746" "Gene829"
"SNP746" "Gene840"
"SNP746" "Gene1197"
"SNP746" "Gene2126"
"SNP746" "Gene2795"
"SNP746" "Gene2915"
"SNP746" "Gene3695"
"SNP747" "Gene157"
"SNP747" "Gene293"
"SNP747" "Gene829"
"SNP747" "Gene840"
"SNP747" "Gene1197"
"SNP747" "Gene2126"
"SNP747" "Gene2795"
"SNP747" "Gene2915"
"SNP747" "Gene3017"
"SNP747" "Gene3695"
"SNP748" "Gene157"
"SNP748" "Gene293"
"SNP748" "Gene829"
"SNP748" "Gene840"
"SNP748" "Gene1197"
"SNP748" "Gene2126"
"SNP748" "Gene2795"
"SNP748" "Gene2915"
"SNP748" "Gene3017"
"SNP748" "Gene3695"
"SNP750" "Gene255"
"SNP750" "Gene858"
"SNP750" "Gene934"
"SNP750" "Gene937"
"SNP750" "Gene1507"
"SNP750" "Gene3224"
"SNP750" "Gene3235"
"SNP750" "Gene3237"
"SNP750" "Gene3239"
"SNP750" "Gene3240"
"SNP750" "Gene3339"
"SNP750" "Gene3620"
"SNP750" "Gene3682"
"SNP750" "Gene3974"
"SNP750" "Gene4146"
"SNP753" "Gene451"
"SNP753" "Gene511"
"SNP753" "Gene533"
"SNP753" "Gene1082"
"SNP753" "Gene1302"
"SNP753" "Gene1992"
"SNP753" "Gene2322"
"SNP753" "Gene2741"
"SNP753" "Gene2768"
"SNP753" "Gene3274"
"SNP753" "Gene3846"
"SNP753" "Gene3976"
"SNP763" "Gene2655"
"SNP763" "Gene3378"
"SNP763" "Gene3388"
"SNP763" "Gene4440"
"SNP765" "Gene1005"
"SNP765" "Gene2680"
"SNP767" "Gene183"
"SNP767" "Gene219"
"SNP767" "Gene665"
"SNP767" "Gene887"
"SNP767" "Gene891"
"SNP767" "Gene1794"
"SNP767" "Gene1921"
"SNP767" "Gene2162"
"SNP767" "Gene2207"
"SNP767" "Gene2714"
"SNP767" "Gene2715"
"SNP767" "Gene2716"
"SNP767" "Gene2717"
"SNP767" "Gene2718"
"SNP767" "Gene2804"
"SNP767" "Gene2890"
"SNP767" "Gene2891"
"SNP767" "Gene2896"
"SNP767" "Gene3197"
"SNP767" "Gene3279"
"SNP767" "Gene3280"
"SNP767" "Gene3351"
"SNP767" "Gene3480"
"SNP767" "Gene3691"
"SNP767" "Gene3770"
"SNP767" "Gene3771"
"SNP767" "Gene3810"
"SNP767" "Gene3836"
"SNP767" "Gene3837"
"SNP767" "Gene3901"
"SNP767" "Gene4053"
"SNP767" "Gene4074"
"SNP767" "Gene4160"
"SNP767" "Gene4161"
"SNP767" "Gene4162"
"SNP767" "Gene4302"
"SNP767" "Gene4316"
"SNP767" "Gene4317"
"SNP767" "Gene4331"
"SNP767" "Gene4358"
"SNP767" "Gene4403"
"SNP767" "Gene4404"
"SNP767" "Gene4405"
"SNP767" "Gene4412"
"SNP768" "Gene799"
"SNP768" "Gene1219"
"SNP768" "Gene1500"
"SNP768" "Gene2198"
"SNP768" "Gene4119"
"SNP781" "Gene301"
"SNP781" "Gene303"
"SNP781" "Gene2025"
"SNP781" "Gene3579"
"SNP784" "Gene1236"
"SNP784" "Gene1705"
"SNP784" "Gene1781"
"SNP784" "Gene1800"
"SNP784" "Gene3924"
"SNP784" "Gene4089"
"SNP784" "Gene4108"
"SNP787" "Gene411"
"SNP787" "Gene1029"
"SNP787" "Gene1242"
"SNP787" "Gene3385"
"SNP788" "Gene3125"
"SNP800" "Gene6"
"SNP800" "Gene155"
"SNP800" "Gene185"
"SNP800" "Gene416"
"SNP800" "Gene521"
"SNP800" "Gene1099"
"SNP800" "Gene1237"
"SNP800" "Gene1387"
"SNP800" "Gene2123"
"SNP800" "Gene2522"
"SNP800" "Gene2968"
"SNP800" "Gene3393"
"SNP801" "Gene732"
"SNP801" "Gene1132"
"SNP801" "Gene1181"
"SNP801" "Gene1265"
"SNP801" "Gene1517"
"SNP801" "Gene2238"
"SNP806" "Gene1138"
"SNP806" "Gene1380"
"SNP806" "Gene2582"
"SNP807" "Gene645"
"SNP809" "Gene293"
"SNP809" "Gene840"
"SNP809" "Gene1197"
"SNP809" "Gene1664"
"SNP809" "Gene2127"
"SNP809" "Gene2471"
"SNP809" "Gene2538"
"SNP809" "Gene2795"
"SNP809" "Gene2915"
"SNP809" "Gene3801"
"SNP809" "Gene3804"
"SNP812" "Gene1138"
"SNP812" "Gene1380"
"SNP812" "Gene2582"
"SNP814" "Gene226"
"SNP814" "Gene424"
"SNP814" "Gene691"
"SNP814" "Gene694"
"SNP814" "Gene697"
"SNP814" "Gene1733"
"SNP814" "Gene1844"
"SNP814" "Gene2273"
"SNP814" "Gene2432"
"SNP814" "Gene2433"
"SNP814" "Gene2434"
"SNP814" "Gene2533"
"SNP814" "Gene2639"
"SNP814" "Gene2745"
"SNP814" "Gene2884"
"SNP814" "Gene2940"
"SNP814" "Gene3068"
"SNP814" "Gene3369"
"SNP814" "Gene3445"
"SNP814" "Gene3521"
"SNP814" "Gene3832"
"SNP814" "Gene4093"
"SNP814" "Gene4411"
"SNP815" "Gene304"
"SNP815" "Gene712"
"SNP815" "Gene885"
"SNP815" "Gene1196"
"SNP815" "Gene1307"
"SNP815" "Gene1422"
"SNP815" "Gene1475"
"SNP815" "Gene1930"
"SNP815" "Gene2618"
"SNP815" "Gene2869"
"SNP815" "Gene3078"
"SNP815" "Gene3149"
"SNP815" "Gene3287"
"SNP815" "Gene3526"
"SNP815" "Gene3698"
"SNP815" "Gene4065"
"SNP815" "Gene4410"
"SNP819" "Gene157"
"SNP819" "Gene279"
"SNP819" "Gene282"
"SNP819" "Gene287"
"SNP819" "Gene289"
"SNP819" "Gene824"
"SNP819" "Gene829"
"SNP819" "Gene840"
"SNP819" "Gene1197"
"SNP819" "Gene1330"
"SNP819" "Gene1357"
"SNP819" "Gene1468"
"SNP819" "Gene1639"
"SNP819" "Gene1640"
"SNP819" "Gene1642"
"SNP819" "Gene1643"
"SNP819" "Gene1662"
"SNP819" "Gene1666"
"SNP819" "Gene1753"
"SNP819" "Gene1758"
"SNP819" "Gene1899"
"SNP819" "Gene2126"
"SNP819" "Gene2795"
"SNP819" "Gene2805"
"SNP819" "Gene2915"
"SNP819" "Gene3017"
"SNP819" "Gene3695"
"SNP820" "Gene326"
"SNP820" "Gene328"
"SNP820" "Gene2359"
"SNP820" "Gene2840"
"SNP820" "Gene3972"
"SNP821" "Gene4467"
"SNP830" "Gene501"
"SNP830" "Gene1225"
"SNP830" "Gene1335"
"SNP830" "Gene1873"
"SNP830" "Gene2307"
"SNP830" "Gene2923"
"SNP830" "Gene3453"
"SNP831" "Gene588"
"SNP831" "Gene2734"
"SNP831" "Gene2788"
"SNP831" "Gene2912"
"SNP831" "Gene3060"
"SNP831" "Gene4271"
"SNP835" "Gene799"
"SNP835" "Gene2198"
"SNP835" "Gene4119"
"SNP837" "Gene799"
"SNP837" "Gene2198"
"SNP837" "Gene4119"
"SNP838" "Gene799"
"SNP838" "Gene1219"
"SNP838" "Gene1500"
"SNP838" "Gene2198"
"SNP838" "Gene4119"
"SNP841" "Gene501"
"SNP841" "Gene1225"
"SNP841" "Gene1335"
"SNP841" "Gene1873"
"SNP841" "Gene2307"
"SNP841" "Gene2861"
"SNP841" "Gene2923"
"SNP841" "Gene3453"
"SNP847" "Gene888"
"SNP847" "Gene2230"
"SNP848" "Gene165"
"SNP848" "Gene1113"
"SNP848" "Gene3189"
"SNP848" "Gene3291"
"SNP848" "Gene3764"
"SNP850" "Gene987"
"SNP850" "Gene1565"
"SNP850" "Gene3541"
